# PIMCID: 234567891
#  nodes  elems                 w             thick             young           poisson            radius          pressure
       0      1  8.63268675997609231E-02  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.00000000000000002E-02
       0      1  1.72653735199521846E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.00000000000000004E-02
       0      1  2.58980602799282755E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.99999999999999989E-02
       0      1  3.45307470399043692E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  4.00000000000000008E-02
       0      1  4.31634337998804629E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  5.00000000000000028E-02
       0      1  5.17961205598565511E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  5.99999999999999978E-02
       0      1  6.04288073198326559E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  7.00000000000000067E-02
       0      1  6.90614940798087384E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  8.00000000000000017E-02
       0      1  7.76941808397848210E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  8.99999999999999967E-02
       0      1  8.63268675997609258E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.00000000000000006E-01
       0      1  9.49595543597370195E-01  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.10000000000000001E-01
       0      1  1.03592241119713102E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.19999999999999996E-01
       0      1  1.12224927879689185E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.30000000000000004E-01
       0      1  1.20857614639665312E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40000000000000013E-01
       0      1  1.29490301399641372E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.49999999999999994E-01
       0      1  1.38122988159617477E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.60000000000000003E-01
       0      1  1.46755674919593582E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.70000000000000012E-01
       0      1  1.55388361679569642E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.79999999999999993E-01
       0      1  1.64021048439545747E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.90000000000000002E-01
       0      1  1.72653735199521852E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.00000000000000011E-01
       0      1  1.81286421959497934E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.09999999999999992E-01
       0      1  1.89919108719474039E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.20000000000000001E-01
       0      1  1.98551795479450122E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.30000000000000010E-01
       0      1  2.07184482239426204E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.39999999999999991E-01
       0      1  2.15817168999402309E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.50000000000000000E-01
       0      1  2.24449855759378369E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.60000000000000009E-01
       0      1  2.33082542519354474E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.70000000000000018E-01
       0      1  2.41715229279330623E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.80000000000000027E-01
       0      1  2.50347916039306639E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.89999999999999980E-01
       0      1  2.58980602799282744E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  2.99999999999999989E-01
       0      1  2.67613289559258849E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.09999999999999998E-01
       0      1  2.76245976319234954E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.20000000000000007E-01
       0      1  2.84878663079211014E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.30000000000000016E-01
       0      1  2.93511349839187163E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.40000000000000024E-01
       0      1  3.02144036599163179E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.49999999999999978E-01
       0      1  3.10776723359139284E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.59999999999999987E-01
       0      1  3.19409410119115433E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.69999999999999996E-01
       0      1  3.28042096879091494E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  3.80000000000000004E-01
