# PIMCID: 234567891
#  nodes  elems                 w             thick             young           poisson            radius          pressure
       0      1  1.48457773486801825E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.00000000000000006E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.48045870087811493E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.03029999999999997E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.47633236563755665E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.06061000000000002E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.47220145190136908E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.09090999999999994E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.46806459927205424E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.12120999999999998E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.46392043951134587E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.15152000000000004E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.45977170713574700E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.18181999999999995E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.45561703586702085E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.21212000000000000E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.45145642570516809E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.24242000000000005E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.44728850057115221E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.27272999999999997E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.44311601066301520E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.30303000000000002E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.43893758186175158E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.33333000000000007E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.43475183220758518E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.36364000000000013E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.43056152366003730E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.39393999999999990E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.42636527621936215E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.42423999999999995E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.42216170204504566E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.45455000000000001E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.41795357485808604E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.48485000000000006E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.41373950877799959E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.51515000000000011E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.40951950380478674E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.54544999999999988E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.40529216425716230E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.57575999999999994E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.40106027953766499E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.60605999999999999E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.39682245592504084E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.63636000000000004E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.39257729185726609E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.66667000000000010E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.38832758849835769E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.69696999999999987E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.38407194624632224E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.72726999999999992E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.37980895765839717E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.75757999999999998E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.37554143566007747E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.78788000000000002E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.37126797476863049E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.81818000000000007E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.36698857498405735E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.84848000000000012E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.36270182102282456E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.87878999999999990E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.35841054149196672E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.90908999999999995E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.35411332306798204E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.93939000000000000E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.34980874458659916E+00  2.50000000000000000E+01  2.03943241999999991E+04  1.96970000000000006E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.34549964641633024E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.00000000000000011E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.34118460935293449E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.03029999999999988E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.33686220635140063E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.06060999999999994E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.33253528954172040E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.09090999999999999E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.32820243383891334E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.12121000000000004E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.32386220631722984E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.15152000000000010E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.31951747086813875E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.18181999999999987E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.31516679652592061E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.21211999999999992E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.31081018329057564E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.24241999999999997E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.30644619039558418E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.27273000000000003E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.30207769741395474E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.30303000000000008E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.29770326553919868E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.33333000000000013E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.29332144812405669E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.36363999999999991E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.28893513650301617E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.39393999999999996E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.28454288598884880E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.42424000000000001E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.28014324405355651E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.45455000000000007E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.27573911379310490E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.48485000000000011E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.27132904463952690E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.51514999999999989E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.26691303659282140E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.54545000000000021E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.26248962928422137E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.57576000000000027E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.25806174149123140E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.60606000000000004E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.25362791480511482E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.63635999999999981E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.24918668297636493E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.66666999999999987E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.24474097654396343E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.69697000000000020E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.24028933121843599E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.72726999999999997E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.23583027486953556E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.75758000000000003E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.23136674979772320E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.78787999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.22689728583278468E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.81818000000000013E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.22242188297471888E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.84847999999999990E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.21793906125251095E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.87878999999999996E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.21345177864816067E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.90908999999999973E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.20895855715068357E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.93939000000000006E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.20445791090832510E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.96970000000000012E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.19995280966456330E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.99999999999999989E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.19544176952767534E+00  2.50000000000000000E+01  2.03943241999999991E+04  3.03030000000000022E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.19092329876516634E+00  2.50000000000000000E+01  2.03943241999999991E+04  3.06061000000000027E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.18640037888199412E+00  2.50000000000000000E+01  2.03943241999999991E+04  3.09091000000000005E-01  2.50000000000000000E+02  1.40720800000000007E-01
