# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
       5      3   0.108716393E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
       8      7   0.118381619E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      13     14   0.119228053E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      19     23   0.120572054E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      26     34   0.121381605E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      34     47   0.121865964E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      43     62   0.122173655E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      53     79   0.122378993E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      64     98   0.122515547E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      76    119   0.122617054E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
      89    142   0.122666740E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     103    167   0.122742271E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     118    194   0.122767401E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     134    223   0.122833264E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     151    254   0.122829902E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     169    287   0.122874224E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     188    322   0.122899354E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     208    359   0.122906351E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     229    398   0.122887802E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     251    439   0.122930861E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     274    482   0.122912943E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     298    527   0.122913480E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     323    574   0.122920799E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     349    623   0.122912347E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     376    674   0.122901452E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     404    727   0.122900474E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     433    782   0.122858679E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     463    839   0.122851968E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.122859502E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
