# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
     494    898   0.147744446E+03   0.500000000E+01   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.854330215E+02   0.600000000E+01   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.543186722E+02   0.700000000E+01   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.366161957E+02   0.800000000E+01   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.258306904E+02   0.900000000E+01   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.188899269E+02   0.100000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.141514912E+02   0.110000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.109491549E+02   0.120000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.862709045E+01   0.130000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.692446423E+01   0.140000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.563533258E+01   0.150000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.464783669E+01   0.160000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.388128734E+01   0.170000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.327147913E+01   0.180000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.278326702E+01   0.190000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.238846636E+01   0.200000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.206409454E+01   0.210000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.179628146E+01   0.220000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.157406056E+01   0.230000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.138729846E+01   0.240000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.122859502E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.109327805E+01   0.260000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.977207839E+00   0.270000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.877197027E+00   0.280000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
