# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
     494    898   0.500922966E+01   0.250000000E+02   0.500000000E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.468015242E+01   0.250000000E+02   0.535354004E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.438994026E+01   0.250000000E+02   0.570706982E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.413558340E+01   0.250000000E+02   0.606060986E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.390850282E+01   0.250000000E+02   0.641414014E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.370284104E+01   0.250000000E+02   0.676768018E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.352013659E+01   0.250000000E+02   0.712120996E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.335178089E+01   0.250000000E+02   0.747475000E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.320037603E+01   0.250000000E+02   0.782827979E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.306237936E+01   0.250000000E+02   0.818181982E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.293467903E+01   0.250000000E+02   0.853534961E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.281853628E+01   0.250000000E+02   0.888888965E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.271122742E+01   0.250000000E+02   0.924241992E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.261046910E+01   0.250000000E+02   0.959595996E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.251802945E+01   0.250000000E+02   0.994949023E+04   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.243171334E+01   0.250000000E+02   0.103030000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.235182881E+01   0.250000000E+02   0.106565996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.227622271E+01   0.250000000E+02   0.110100996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.220529199E+01   0.250000000E+02   0.113635996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.213904572E+01   0.250000000E+02   0.117172002E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.207582426E+01   0.250000000E+02   0.120707002E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.201687074E+01   0.250000000E+02   0.124242002E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.196111429E+01   0.250000000E+02   0.127777998E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.190899789E+01   0.250000000E+02   0.131312998E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.185873234E+01   0.250000000E+02   0.134847998E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.181118739E+01   0.250000000E+02   0.138384004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.176601481E+01   0.250000000E+02   0.141919004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.172262883E+01   0.250000000E+02   0.145455000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.168202901E+01   0.250000000E+02   0.148990000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.164293802E+01   0.250000000E+02   0.152525000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.160589814E+01   0.250000000E+02   0.156060996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.157011950E+01   0.250000000E+02   0.159595996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.153576803E+01   0.250000000E+02   0.163130996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.150334597E+01   0.250000000E+02   0.166666992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.147187424E+01   0.250000000E+02   0.170201992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.144096482E+01   0.250000000E+02   0.173736992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.141325366E+01   0.250000000E+02   0.177273008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.138528526E+01   0.250000000E+02   0.180808008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.135954249E+01   0.250000000E+02   0.184343008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.133336687E+01   0.250000000E+02   0.187879004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.130870199E+01   0.250000000E+02   0.191414004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.128512001E+01   0.250000000E+02   0.194949004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.126196682E+01   0.250000000E+02   0.198485000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.124053979E+01   0.250000000E+02   0.202020000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.121890116E+01   0.250000000E+02   0.205555996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.119847476E+01   0.250000000E+02   0.209090996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.117829001E+01   0.250000000E+02   0.212625996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.115954566E+01   0.250000000E+02   0.216161992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.114064395E+01   0.250000000E+02   0.219696992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.112256074E+01   0.250000000E+02   0.223231992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.110522866E+01   0.250000000E+02   0.226768008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.108836961E+01   0.250000000E+02   0.230303008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.107199836E+01   0.250000000E+02   0.233838008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.105587196E+01   0.250000000E+02   0.237374004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.104047680E+01   0.250000000E+02   0.240909004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.102547538E+01   0.250000000E+02   0.244444004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.101048255E+01   0.250000000E+02   0.247980000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.996729553E+00   0.250000000E+02   0.251515000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.982701659E+00   0.250000000E+02   0.255050996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.969267190E+00   0.250000000E+02   0.258585996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.956117809E+00   0.250000000E+02   0.262120996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.943698406E+00   0.250000000E+02   0.265656992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.931085289E+00   0.250000000E+02   0.269191992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.918832719E+00   0.250000000E+02   0.272726992E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.907430589E+00   0.250000000E+02   0.276263008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.895639658E+00   0.250000000E+02   0.279798008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.884679735E+00   0.250000000E+02   0.283333008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.873490512E+00   0.250000000E+02   0.286869004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.862914860E+00   0.250000000E+02   0.290404004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.852466404E+00   0.250000000E+02   0.293939004E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.842036545E+00   0.250000000E+02   0.297475000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.832409561E+00   0.250000000E+02   0.301010000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.822817683E+00   0.250000000E+02   0.304545000E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.812986910E+00   0.250000000E+02   0.308080996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.803959668E+00   0.250000000E+02   0.311615996E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
