# PIMCID: 234567891
#  nodes  elems                 w             thick             young           poisson            radius          pressure
       0      1  1.51849823376655451E+02  5.00000000000000000E+00  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  8.78760551948237634E+01  6.00000000000000000E+00  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  5.53388569156907693E+01  7.00000000000000000E+00  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  3.70727107853162750E+01  8.00000000000000000E+00  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  2.60373496873551886E+01  9.00000000000000000E+00  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.89812279220819313E+01  1.00000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.42608774771464564E+01  1.10000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.09845068993529704E+01  1.20000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  8.63961216298677037E+00  1.30000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  6.91735711446134616E+00  1.40000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  5.62406753246872082E+00  1.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  4.63408884816453437E+00  1.60000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  3.86346996175085122E+00  1.70000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  3.25466871091939858E+00  1.80000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  2.76734624902783688E+00  1.90000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  2.37265349026024142E+00  2.00000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  2.04958729317373223E+00  2.10000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.78260968464330705E+00  2.20000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.56005818378252092E+00  2.30000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.37306336241912130E+00  2.40000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.21479858701324361E+00  2.50000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  1.07995152037334630E+00  2.60000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  9.64346284716858904E-01  2.70000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  8.64669639307668270E-01  2.80000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  7.78270036577224711E-01  2.90000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  7.03008441558590103E-01  3.00000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
       0      1  6.37146383877074673E-01  3.10000000000000000E+01  2.03943241999999991E+04  2.89999999999999980E-01  2.50000000000000000E+02  1.40720800000000007E-01
