# PIMCID: 234567891
#   elem          X           Y        AREA           W
       1     3.8156     -3.8156      65.513      1.0611    
       2     3.8156      3.8156      65.513      1.0611    
       3     7.0097     -15.957      134.96      1.0537    
       4     10.825     -7.8626      124.33      1.0569    
       5     17.835      0.0000      116.34      1.0537    
       6     10.825      7.8626      124.33      1.0569    
       7     7.0097      15.957      134.96      1.0537    
       8     8.0940     -27.635      122.11      1.0421    
       9     15.104     -20.235      147.40      1.0463    
      10     26.550     -12.141      100.55      1.0421    
      11     25.466      0.0000      161.61      1.0463    
      12     26.550      12.141      100.55      1.0421    
      13     15.104      20.235      147.40      1.0463    
      14     8.0940      27.635      122.11      1.0421    
      15     8.5401     -37.730      118.46      1.0278    
      16     16.634     -31.295      140.05      1.0329    
      17     30.452     -24.338      101.52      1.0278    
      18     33.359     -12.584      154.11      1.0329    
      19     39.083      0.0000      95.825      1.0278    
      20     33.359      12.584      154.11      1.0329    
      21     30.452      24.338      101.52      1.0278    
      22     16.634      31.295      140.05      1.0329    
      23     8.5401      37.730      118.46      1.0278    
      24     8.7426     -47.157      116.29      1.0108    
      25     17.283     -41.426      132.74      1.0168    
      26     32.425     -35.640      103.41      1.0108    
      27     37.501     -24.987      144.30      1.0168    
      28     46.446     -13.232      96.936      1.0108    
      29     45.121      0.0000      148.18      1.0168    
      30     46.446      13.232      96.936      1.0108    
      31     37.501      24.987      144.30      1.0168    
      32     32.425      35.640      103.41      1.0108    
      33     17.283      41.426      132.74      1.0168    
      34     8.7426      47.157      116.29      1.0108    
      35     8.8380     -56.207      114.72     0.99121    
      36     17.581     -50.980      127.28     0.99805    
      37     33.506     -46.195      104.80     0.99120    
      38     39.811     -36.585      136.53     0.99803    
      39     50.927     -25.975      98.829     0.99118    
      40     52.487     -13.275      141.17     0.99802    
      41     57.203      0.0000      96.834     0.99117    
      42     52.487      13.275      141.17     0.99802    
      43     50.927      25.975      98.829     0.99119    
      44     39.811      36.585      136.53     0.99804    
      45     33.506      46.195      104.80     0.99121    
      46     17.581      50.980      127.28     0.99805    
      47     8.8380      56.207      114.72     0.99121    
      48     8.8818     -65.021      113.49     0.96897    
      49     17.720     -60.164      123.30     0.97667    
      50     34.131     -56.206      105.70     0.96897    
      51     41.175     -47.464      130.72     0.97666    
      52     53.779     -37.993      100.48     0.96895    
      53     57.227     -26.115      135.18     0.97664    
      54     64.511     -13.414      97.871     0.96894    
      55     62.927      0.0000      136.67     0.97664    
      56     64.511      13.414      97.871     0.96894    
      57     57.227      26.115      135.18     0.97665    
      58     53.779      37.993      100.48     0.96896    
      59     41.175      47.464      130.72     0.97667    
      60     34.131      56.206      105.70     0.96897    
      61     17.720      60.164      123.30     0.97667    
      62     8.8818      65.021      113.49     0.96897    
      63     8.8989     -73.678      112.51     0.94420    
      64     17.781     -69.101      120.32     0.95274    
      65     34.505     -65.824      106.24     0.94420    
      66     42.018     -57.785      126.36     0.95273    
      67     55.669     -49.352      101.76     0.94418    
      68     60.387     -38.303      130.39     0.95271    
      69     69.599     -26.409      99.067     0.94417    
      70     70.275     -13.400      132.41     0.95270    
      71     74.456      0.0000      98.170     0.94416    
      72     70.275      13.400      132.41     0.95270    
      73     69.599      26.409      99.067     0.94417    
      74     60.387      38.303      130.39     0.95272    
      75     55.669      49.352      101.76     0.94419    
      76     42.018      57.785      126.36     0.95273    
      77     34.505      65.824      106.24     0.94420    
      78     17.781      69.101      120.32     0.95274    
      79     8.8989      73.678      112.51     0.94420    
      80     8.9018     -82.223      111.69     0.91695    
      81     17.801     -77.865      118.05     0.92631    
      82     34.733     -75.152      106.57     0.91695    
      83     42.556     -67.686      123.03     0.92630    
      84     56.962     -60.169      102.71     0.91694    
      85     62.563     -49.873      126.60     0.92629    
      86     73.235     -38.843      100.15     0.91692    
      87     75.553     -26.429      128.74     0.92627    
      88     81.827     -13.420      98.860     0.91691    
      89     80.054      0.0000      129.45     0.92627    
      90     81.827      13.420      98.860     0.91691    
      91     75.553      26.429      128.74     0.92628    
      92     73.235      38.844      100.15     0.91693    
      93     62.563      49.873      126.60     0.92629    
      94     56.962      60.169      102.71     0.91695    
      95     42.556      67.686      123.03     0.92631    
      96     34.733      75.152      106.57     0.91695    
      97     17.801      77.865      118.05     0.92630    
      98     8.9018      82.223      111.69     0.91694    
      99     8.8970     -90.687      111.00     0.88730    
     100     17.799     -86.504      116.27     0.89745    
     101     34.872     -84.264      106.74     0.88731    
     102     42.907     -77.269      120.44     0.89745    
     103     57.872     -70.552      103.42     0.88730    
     104     64.104     -60.918      123.57     0.89744    
     105     75.897     -50.731      101.04     0.88728    
     106     79.428     -38.953      125.66     0.89742    
     107     87.381     -26.515      99.617     0.88727    
     108     87.462     -13.396      126.70     0.89741    
     109     91.323      0.0000      99.142     0.88726    
     110     87.462      13.396      126.70     0.89741    
     111     87.381      26.515      99.617     0.88727    
     112     79.428      38.953      125.66     0.89743    
     113     75.897      50.731      101.04     0.88729    
     114     64.104      60.918      123.57     0.89744    
     115     57.872      70.552      103.42     0.88730    
     116     42.907      77.269      120.44     0.89745    
     117     34.872      84.264      106.74     0.88730    
     118     17.799      86.504      116.27     0.89744    
     119     8.8970      90.687      111.00     0.88729    
     120     8.8879     -99.090      110.41     0.85532    
     121     17.785     -95.050      114.84     0.86624    
     122     34.955     -93.210      106.82     0.85534    
     123     43.140     -86.606      118.38     0.86625    
     124     58.525     -80.588      103.93     0.85533    
     125     65.221     -71.529      121.12     0.86624    
     126     77.888     -62.132      101.77     0.85532    
     127     82.331     -50.969      123.09     0.86622    
     128     91.635     -39.177      100.33     0.85531    
     129     93.154     -26.501      124.27     0.86621    
