# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
     494    898   0.871344358E-01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.999999978E-02
     494    898   0.174268872E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.199999996E-01
     494    898   0.261403203E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.299999993E-01
     494    898   0.348537743E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.399999991E-01
     494    898   0.435672164E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.500000007E-01
     494    898   0.522806406E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.599999987E-01
     494    898   0.609941065E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.700000003E-01
     494    898   0.697075486E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.799999982E-01
     494    898   0.784210026E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.900000036E-01
     494    898   0.871344328E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.100000001E+00
     494    898   0.958478749E+00   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.109999999E+00
     494    898   0.104561281E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.119999997E+00
     494    898   0.113274729E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.129999995E+00
     494    898   0.121988213E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.140000001E+00
     494    898   0.130701661E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.150000006E+00
     494    898   0.139415097E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.159999996E+00
     494    898   0.148128510E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.170000002E+00
     494    898   0.156842005E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.180000007E+00
     494    898   0.165555394E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.189999998E+00
     494    898   0.174268866E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.200000003E+00
     494    898   0.182982314E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.209999993E+00
     494    898   0.191695750E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.219999999E+00
     494    898   0.200409150E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.230000004E+00
     494    898   0.209122562E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.239999995E+00
     494    898   0.217836022E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.250000000E+00
     494    898   0.226549459E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.259999990E+00
     494    898   0.235262918E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.270000011E+00
     494    898   0.243976426E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.280000001E+00
     494    898   0.252689838E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.289999992E+00
     494    898   0.261403322E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.300000012E+00
     494    898   0.270116711E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.310000002E+00
     494    898   0.278830194E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.319999993E+00
     494    898   0.287543654E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.330000013E+00
     494    898   0.296257019E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.340000004E+00
     494    898   0.304970503E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.349999994E+00
     494    898   0.313684011E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.360000014E+00
     494    898   0.322397327E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.370000005E+00
     494    898   0.331110787E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.379999995E+00
     494    898   0.339824247E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.389999986E+00
     494    898   0.348537731E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.400000006E+00
     494    898   0.357251191E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.409999996E+00
     494    898   0.365964627E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.419999987E+00
     494    898   0.374678063E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.430000007E+00
     494    898   0.383391500E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.439999998E+00
     494    898   0.392104912E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.449999988E+00
     494    898   0.400818300E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.460000008E+00
     494    898   0.409531736E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.469999999E+00
     494    898   0.418245125E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.479999989E+00
     494    898   0.426958847E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.490000010E+00
     494    898   0.435672045E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.500000000E+00
     494    898   0.444385672E+01   0.250000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.509999990E+00
