# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
     494    898   0.149649692E+01   0.250000000E+02   0.203943008E+05   0.100000001E+00   0.250000000E+03   0.141000003E+00
     494    898   0.149206686E+01   0.250000000E+02   0.203943008E+05   0.103030004E+00   0.250000000E+03   0.141000003E+00
     494    898   0.148825049E+01   0.250000000E+02   0.203943008E+05   0.106060997E+00   0.250000000E+03   0.141000003E+00
     494    898   0.148445332E+01   0.250000000E+02   0.203943008E+05   0.109090999E+00   0.250000000E+03   0.141000003E+00
     494    898   0.147985423E+01   0.250000000E+02   0.203943008E+05   0.112121001E+00   0.250000000E+03   0.141000003E+00
     494    898   0.147545063E+01   0.250000000E+02   0.203943008E+05   0.115152001E+00   0.250000000E+03   0.141000003E+00
     494    898   0.147177982E+01   0.250000000E+02   0.203943008E+05   0.118182003E+00   0.250000000E+03   0.141000003E+00
     494    898   0.146775877E+01   0.250000000E+02   0.203943008E+05   0.121211998E+00   0.250000000E+03   0.141000003E+00
     494    898   0.146357453E+01   0.250000000E+02   0.203943008E+05   0.124242000E+00   0.250000000E+03   0.141000003E+00
     494    898   0.145893562E+01   0.250000000E+02   0.203943008E+05   0.127272993E+00   0.250000000E+03   0.141000003E+00
     494    898   0.145435500E+01   0.250000000E+02   0.203943008E+05   0.130302995E+00   0.250000000E+03   0.141000003E+00
     494    898   0.145076954E+01   0.250000000E+02   0.203943008E+05   0.133332998E+00   0.250000000E+03   0.141000003E+00
     494    898   0.144716656E+01   0.250000000E+02   0.203943008E+05   0.136363998E+00   0.250000000E+03   0.141000003E+00
     494    898   0.144236147E+01   0.250000000E+02   0.203943008E+05   0.139394000E+00   0.250000000E+03   0.141000003E+00
     494    898   0.143855023E+01   0.250000000E+02   0.203943008E+05   0.142424002E+00   0.250000000E+03   0.141000003E+00
     494    898   0.143414927E+01   0.250000000E+02   0.203943008E+05   0.145455003E+00   0.250000000E+03   0.141000003E+00
     494    898   0.142989695E+01   0.250000000E+02   0.203943008E+05   0.148485005E+00   0.250000000E+03   0.141000003E+00
     494    898   0.142520714E+01   0.250000000E+02   0.203943008E+05   0.151515007E+00   0.250000000E+03   0.141000003E+00
     494    898   0.142155123E+01   0.250000000E+02   0.203943008E+05   0.154544994E+00   0.250000000E+03   0.141000003E+00
     494    898   0.141814792E+01   0.250000000E+02   0.203943008E+05   0.157575995E+00   0.250000000E+03   0.141000003E+00
     494    898   0.141310692E+01   0.250000000E+02   0.203943008E+05   0.160605997E+00   0.250000000E+03   0.141000003E+00
     494    898   0.140869033E+01   0.250000000E+02   0.203943008E+05   0.163635999E+00   0.250000000E+03   0.141000003E+00
     494    898   0.140474832E+01   0.250000000E+02   0.203943008E+05   0.166666999E+00   0.250000000E+03   0.141000003E+00
     494    898   0.140136051E+01   0.250000000E+02   0.203943008E+05   0.169697002E+00   0.250000000E+03   0.141000003E+00
     494    898   0.139700270E+01   0.250000000E+02   0.203943008E+05   0.172727004E+00   0.250000000E+03   0.141000003E+00
     494    898   0.139207959E+01   0.250000000E+02   0.203943008E+05   0.175758004E+00   0.250000000E+03   0.141000003E+00
     494    898   0.138803768E+01   0.250000000E+02   0.203943008E+05   0.178788006E+00   0.250000000E+03   0.141000003E+00
     494    898   0.138418877E+01   0.250000000E+02   0.203943008E+05   0.181817994E+00   0.250000000E+03   0.141000003E+00
     494    898   0.137943172E+01   0.250000000E+02   0.203943008E+05   0.184847996E+00   0.250000000E+03   0.141000003E+00
     494    898   0.137466061E+01   0.250000000E+02   0.203943008E+05   0.187878996E+00   0.250000000E+03   0.141000003E+00
     494    898   0.137079966E+01   0.250000000E+02   0.203943008E+05   0.190908998E+00   0.250000000E+03   0.141000003E+00
     494    898   0.136661708E+01   0.250000000E+02   0.203943008E+05   0.193939000E+00   0.250000000E+03   0.141000003E+00
     494    898   0.136268461E+01   0.250000000E+02   0.203943008E+05   0.196970001E+00   0.250000000E+03   0.141000003E+00
     494    898   0.135816109E+01   0.250000000E+02   0.203943008E+05   0.200000003E+00   0.250000000E+03   0.141000003E+00
     494    898   0.135377741E+01   0.250000000E+02   0.203943008E+05   0.203030005E+00   0.250000000E+03   0.141000003E+00
     494    898   0.134917665E+01   0.250000000E+02   0.203943008E+05   0.206061006E+00   0.250000000E+03   0.141000003E+00
